Week,sanders
2016-01-03 - 2016-01-09,14
2016-01-10 - 2016-01-16,26
2016-01-17 - 2016-01-23,44
2016-01-24 - 2016-01-30,43
2016-01-31 - 2016-02-06,85
2016-02-07 - 2016-02-13,100
2016-02-14 - 2016-02-20,51
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,73
2016-03-06 - 2016-03-12,84
2016-03-13 - 2016-03-19,74
2016-03-20 - 2016-03-26,54
2016-03-27 - 2016-04-02,66
2016-04-03 - 2016-04-09,66
2016-04-10 - 2016-04-16,63
2016-04-17 - 2016-04-23,57
2016-04-24 - 2016-04-30,36
2016-05-01 - 2016-05-07,46
2016-05-08 - 2016-05-14,36
2016-05-15 - 2016-05-21,37
2016-05-22 - 2016-05-28,39
2016-05-29 - 2016-06-04,32
