Poll,Date,Sample,MoE,clinton,sanders,Spread
RCP Average,5/13 - 5/30,--,--,53.3,42.5,Clinton +10.8
QuinnipiacQuinnipiac,5/24 - 05/30,678 RV,3.8,53,39,Clinton +14
ABC News/Wash PostABC/WP,5/16 - 05/19,373 RV,--,56,42,Clinton +14
NBC News/Wall St. JrnlNBC/WSJ,5/15 - 05/19,342 LV,5.3,53,45,Clinton +8
CBS News/NY TimesCBS/NYT,5/13 - 05/17,371 LV,6.0,51,44,Clinton +7
CNN/ORCCNN/ORC,4/28 - 05/01,405 LV,5.0,51,43,Clinton +8
IBD/TIPPIBD/TIPP,4/22 - 04/28,355 RV,5.3,49,43,Clinton +6
USA Today/SuffolkUSA Today,4/20 - 04/24,363 LV,5.1,50,45,Clinton +5
Pew ResearchPew,4/12 - 04/19,738 RV,--,54,42,Clinton +12
FOX NewsFOX News,4/11 - 04/13,450 RV,4.5,48,46,Clinton +2
NBC News/Wall St. JrnlNBC/WSJ,4/10 - 04/14,339 LV,5.3,50,48,Clinton +2
CBS NewsCBS News,4/8 - 04/12,359 LV,6.0,50,44,Clinton +6
The Atlantic/PRRIThe Atlantic,3/30 - 04/03,788 RV,--,46,47,Sanders +1
IBD/TIPPIBD/TIPP,3/28 - 04/02,388 RV,5.1,45,44,Clinton +1
McClatchy/MaristMcClatchy,3/29 - 03/31,497 RV,4.4,47,49,Sanders +2
Pew ResearchPew,3/17 - 03/27,842 RV,3.8,49,43,Clinton +6
PPP (D)PPP (D),3/24 - 03/26,505 LV,4.4,54,36,Clinton +18
FOX NewsFOX News,3/20 - 03/22,410 LV,5.0,55,42,Clinton +13
BloombergBloomberg,3/19 - 03/22,311 LV,5.6,48,49,Sanders +1
CBS News/NY TimesCBS/NYT,3/17 - 03/20,388 LV,6.0,50,45,Clinton +5
CNN/ORCCNN/ORC,3/17 - 03/20,397 RV,5.0,51,44,Clinton +7
MonmouthMonmouth,3/17 - 03/20,391 RV,5.0,55,37,Clinton +18
QuinnipiacQuinnipiac,3/16 - 03/21,635 RV,3.9,50,38,Clinton +12
NBC News/Wall St. JrnlNBC/WSJ,3/3 - 03/06,410 LV,4.8,53,44,Clinton +9
ABC News/Wash PostABC/WP,3/3 - 03/06,RV,5.5,49,42,Clinton +7
CNN/ORCCNN/ORC,2/24 - 02/27,427 RV,5.0,55,38,Clinton +17
Rasmussen ReportsRasmussen,2/25 - 02/28,541 LV,4.5,53,31,Clinton +22
IBD/TIPPIBD/TIPP,2/19 - 02/24,334 RV,5.5,45,43,Clinton +2
FOX NewsFOX News,2/15 - 02/17,429 LV,4.5,44,47,Sanders +3
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 02/16,400 LV,4.9,53,42,Clinton +11
CBS NewsCBS News,2/12 - 02/16,549 LV,5.0,47,39,Clinton +8
USA Today/SuffolkUSA Today,2/11 - 02/15,319 LV,5.5,50,40,Clinton +10
QuinnipiacQuinnipiac,2/10 - 02/15,563 LV,4.1,44,42,Clinton +2
QuinnipiacQuinnipiac,2/2 - 02/04,484 RV,4.5,44,42,Clinton +2
Rasmussen ReportsRasmussen,2/3 - 02/04,574 LV,4.5,50,32,Clinton +18
PPP (D)PPP (D),2/2 - 02/03,517 LV,4.3,53,32,Clinton +21
IBD/TIPPIBD/TIPP,1/22 - 01/27,349 RV,5.4,50,38,Clinton +12
CNN/ORCCNN/ORC,1/21 - 01/24,440 RV,4.5,52,38,Clinton +14
ABC News/Wash PostABC/WP,1/21 - 01/24,406 RV,5.5,55,36,Clinton +19
FOX NewsFOX News,1/18 - 01/21,375 LV,5.0,49,37,Clinton +12
MonmouthMonmouth,1/15 - 01/18,352 RV,5.2,52,37,Clinton +15
NBC News/Wall St. JrnlNBC/WSJ,1/9 - 01/13,400 LV,4.9,59,34,Clinton +25
CBS/NY TimesCBS/NYT,1/7 - 01/10,389 LV,6.0,48,41,Clinton +7
IBD/TIPPIBD/TIPP,1/4 - 01/08,378 LV,5.1,43,39,Clinton +4
FOX NewsFOX News,1/4 - 01/07,360 RV,5.0,54,39,Clinton +15
